ID_Cliente,Nome_Cliente,Data_Criacao
CLI000001,Mariana Teixeira Batista,03/08/2015
CLI000002,Isabela Rocha Vieira,30/10/2024
CLI000003,Isabela Pereira Araujo,07/09/2018
CLI000004,Samuel Ribeiro Cardoso,16/04/2019
CLI000005,Marcos Nascimento Rocha,03/01/2023
CLI000006,Beatriz Queiroz Oliveira,16/05/2026
CLI000007,Eduardo Vieira Ribeiro,30/01/2023
CLI000008,Beatriz Garcia Ribeiro,29/05/2022
CLI000009,Flavia Silva Oliveira,17/04/2019
CLI000010,Carlos Teixeira Leite,25/12/2016
CLI000011,Olivia Oliveira Jesus,09/06/2016
CLI000012,Daniela Rocha Cardoso,29/07/2016
CLI000013,Yasmin Duarte Batista,29/01/2011
CLI000014,Alexandre Inacio Oliveira,01/03/2014
CLI000015,Natalia Ferreira Jesus,01/06/2013
CLI000016,Bruno Jesus Freitas,31/07/2016
CLI000017,Tatiana Gomes Leite,04/03/2019
CLI000018,Helena Nascimento Lima,05/04/2010
CLI000019,Fernanda Campos Garcia,20/01/2011
CLI000020,Flavia Batista Freitas,29/12/2010
CLI000021,Mariana Duarte Almeida,14/05/2021
CLI000022,Tatiana Vieira Freitas,25/04/2024
CLI000023,Bruno Garcia Pereira,23/07/2026
CLI000024,Renata Jesus Melo,11/06/2014
CLI000025,Yasmin Melo Garcia,09/02/2022
CLI000026,Gabriel Ribeiro Queiroz,23/09/2010
CLI000027,Debora Araujo Silva,17/08/2025
CLI000028,Juliana Freitas Campos,23/10/2023
CLI000029,Gustavo Queiroz Inacio,09/09/2019
CLI000030,Olivia Ribeiro Teixeira,14/03/2026
CLI000031,Joao Barbosa Almeida,29/07/2022
CLI000032,Rafael Campos Melo,11/09/2017
CLI000033,Bruno Monteiro Duarte,27/02/2019
CLI000034,Mariana Melo Inacio,28/01/2014
CLI000035,Joao Vieira Gomes,16/07/2013
CLI000036,Flavia Ferreira Cardoso,23/07/2024
CLI000037,Vinicius Oliveira Monteiro,27/04/2026
CLI000038,Carlos Esteves Ferreira,31/05/2016
CLI000039,Eduardo Garcia Monteiro,21/01/2016
CLI000040,Beatriz Cardoso Duarte,28/05/2025
CLI000041,Joao Barbosa Nascimento,13/12/2019
CLI000042,Isabela Batista Esteves,18/02/2014
CLI000043,Carlos Rocha Oliveira,16/04/2014
CLI000044,Enzo Araujo Nascimento,10/08/2023
CLI000045,Yasmin Freitas Martins,07/02/2015
CLI000046,Bruno Silva Ribeiro,21/09/2014
CLI000047,Beatriz Duarte Freitas,28/01/2026
CLI000048,Leonardo Henrique Oliveira,21/04/2017
CLI000049,Karina Dias Duarte,28/09/2022
CLI000050,Debora Barbosa Gomes,13/02/2012
CLI000051,Vanessa Cardoso Rocha,18/12/2017
CLI000052,Debora Batista Monteiro,21/06/2016
CLI000053,Daniela Batista Monteiro,02/07/2016
CLI000054,Fernanda Gomes Batista,05/03/2015
CLI000055,Fernanda Teixeira Teixeira,03/07/2010
CLI000056,Mariana Esteves Leite,22/10/2016
CLI000057,Caio Melo Henrique,17/11/2014
CLI000058,Vanessa Melo Vieira,03/10/2024
CLI000059,Debora Queiroz Batista,19/03/2022
CLI000060,Enzo Henrique Vieira,14/03/2014
CLI000061,Larissa Campos Esteves,26/07/2020
CLI000062,Rafael Esteves Almeida,11/01/2012
CLI000063,Marcos Melo Gomes,03/11/2025
